arm,lead,method,threshold_mmh,scale_km,fss
CorrDiff,60,persistence,1,1,0.400942
CorrDiff,60,persistence,1,5,0.499237
CorrDiff,60,persistence,1,11,0.570822
CorrDiff,60,persistence,1,21,0.650907
CorrDiff,60,persistence,1,51,0.781311
CorrDiff,60,persistence,1,101,0.870106
CorrDiff,60,persistence,2,1,0.289708
CorrDiff,60,persistence,2,5,0.387258
CorrDiff,60,persistence,2,11,0.460780
CorrDiff,60,persistence,2,21,0.547486
CorrDiff,60,persistence,2,51,0.699141
CorrDiff,60,persistence,2,101,0.814647
CorrDiff,60,persistence,4,1,0.189640
CorrDiff,60,persistence,4,5,0.269605
CorrDiff,60,persistence,4,11,0.330192
CorrDiff,60,persistence,4,21,0.409452
CorrDiff,60,persistence,4,51,0.563539
CorrDiff,60,persistence,4,101,0.706517
CorrDiff,60,persistence,8,1,0.124942
CorrDiff,60,persistence,8,5,0.166055
CorrDiff,60,persistence,8,11,0.203026
CorrDiff,60,persistence,8,21,0.274583
CorrDiff,60,persistence,8,51,0.434494
CorrDiff,60,persistence,8,101,0.598845
CorrDiff,pooled,advection,0.5,1,0.670603
CorrDiff,pooled,advection,0.5,5,0.782403
CorrDiff,pooled,advection,0.5,11,0.843100
CorrDiff,pooled,advection,0.5,21,0.890408
CorrDiff,pooled,advection,0.5,51,0.941869
CorrDiff,pooled,advection,0.5,101,0.968450
CorrDiff,pooled,advection,1,1,0.593022
CorrDiff,pooled,advection,1,5,0.726552
CorrDiff,pooled,advection,1,11,0.801677
CorrDiff,pooled,advection,1,21,0.861133
CorrDiff,pooled,advection,1,51,0.926266
CorrDiff,pooled,advection,1,101,0.959414
CorrDiff,pooled,advection,2,1,0.474913
CorrDiff,pooled,advection,2,5,0.635320
CorrDiff,pooled,advection,2,11,0.730542
CorrDiff,pooled,advection,2,21,0.806342
CorrDiff,pooled,advection,2,51,0.890941
CorrDiff,pooled,advection,2,101,0.937052
CorrDiff,pooled,advection,4,1,0.327822
CorrDiff,pooled,advection,4,5,0.512396
CorrDiff,pooled,advection,4,11,0.633598
CorrDiff,pooled,advection,4,21,0.731662
CorrDiff,pooled,advection,4,51,0.840848
CorrDiff,pooled,advection,4,101,0.900794
CorrDiff,pooled,advection,8,1,0.188596
CorrDiff,pooled,advection,8,5,0.357346
CorrDiff,pooled,advection,8,11,0.492109
CorrDiff,pooled,advection,8,21,0.612201
CorrDiff,pooled,advection,8,51,0.753829
CorrDiff,pooled,advection,8,101,0.828942
CorrDiff,pooled,model_m0,0.5,1,0.668836
CorrDiff,pooled,model_m0,0.5,5,0.786488
CorrDiff,pooled,model_m0,0.5,11,0.850655
CorrDiff,pooled,model_m0,0.5,21,0.901598
CorrDiff,pooled,model_m0,0.5,51,0.954378
CorrDiff,pooled,model_m0,0.5,101,0.978546
CorrDiff,pooled,model_m0,1,1,0.593571
CorrDiff,pooled,model_m0,1,5,0.732836
CorrDiff,pooled,model_m0,1,11,0.810496
CorrDiff,pooled,model_m0,1,21,0.873400
CorrDiff,pooled,model_m0,1,51,0.940260
CorrDiff,pooled,model_m0,1,101,0.971552
CorrDiff,pooled,model_m0,2,1,0.482050
CorrDiff,pooled,model_m0,2,5,0.645245
CorrDiff,pooled,model_m0,2,11,0.740111
CorrDiff,pooled,model_m0,2,21,0.819032
CorrDiff,pooled,model_m0,2,51,0.907611
CorrDiff,pooled,model_m0,2,101,0.952361
CorrDiff,pooled,model_m0,4,1,0.354665
CorrDiff,pooled,model_m0,4,5,0.534304
CorrDiff,pooled,model_m0,4,11,0.646953
CorrDiff,pooled,model_m0,4,21,0.746489
CorrDiff,pooled,model_m0,4,51,0.860721
CorrDiff,pooled,model_m0,4,101,0.917793
